Név|Konzol|Műfaj|Kiadó|Fejlesztő|Kritikusi pontszám|Összes eladás|Kiadás éve
Medal of Honor: Airborne|X360|Lövöldözős|Electronic Arts|EA Los Angeles|7.3|1.1|2007
SingStar Rocks!|PS2|Egyéb|Sony Computer Entertainment|SCEE London Studio|7.3|1.1|2006
Triple Play 98|PS|Sport|EA Sports|EA Sports|7.3|1.1|1997
GRID|PS3|Versenyzős|Codemasters|Codemasters|8.6|1.1|2008
Sonic Free Riders|X360|Versenyzős|Sega|O-TWO inc.|4.9|1.1|2010
Bully: Scholarship Edition|X360|Akció|Rockstar Games|Rockstar Vancouver/Mad Doc Software|8.1|1.09|2008
The Godfather|PS2|Akció|Electronic Arts|Headgate|7.3|1.09|2006
Imagine: Babysitters|DS|Szimuláció|Ubisoft|Visual Impact|7.3|1.09|2008
DJ Hero|X360|Egyéb|Activision|FreeStyleGames|8.4|1.09|2009
WWE SmackDown vs. Raw 2011|PS3|Harcolós|THQ|JAKKS Pacific|7.3|1.09|2010
Namco Museum Battle Collection|PSP|Egyéb|Namco|Namco Tales Studio|7.9|1.09|2005
NERF N-Strike|Wii|Lövöldözős|Electronic Arts|EA Salt Lake|7.3|1.09|2008
Lightning Returns: Final Fantasy XIII|PS3|Egyéb|Square Enix|Unknown|7.1|1.09|2014
Toy Story 3: The Video Game|PS3|Akció|Disney Interactive Studios|Avalanche Software|7.5|1.09|2010
Madden NFL 2004|XB|Sport|EA Sports|EA Tiburon|7.3|1.09|2003
Skate 2|X360|Sport|Electronic Arts|EA Black Box|8.2|1.09|2009
NFL Blitz 2000|PS|Sport|Midway Games|Midway Games|7.3|1.09|1999
Alien: Isolation|PS4|Kaland|Sega|Creative Assembly|7.3|1.09|2014
NFL 2K1|DC|Sport|Sega|Visual Concepts|9.6|1.09|2000
Star Wars: Bounty Hunter|PS2|Lövöldözős|LucasArts|LucasArts|7.3|1.09|2002
Dragon Ball Z: The Legacy of Goku II|GBA|Szerepjáték|Atari|Webfoot Technologies|7.6|1.09|2003
Untold Legends: Brotherhood of the Blade|PSP|Szerepjáték|Sony Online Entertainment|Sony Online Entertainment|6.5|1.09|2005
Star Wars: The Force Unleashed|PSP|Akció|LucasArts|Krome Studios|7.1|1.09|2008
The Simpsons Game|PSP|Platformer|Electronic Arts|EA Redwood Shores|6.0|1.08|2007
NASCAR Thunder 2004|PS2|Versenyzős|EA Sports|EA Tiburon|7.3|1.08|2003
Dante's Inferno|PS3|Akció|Electronic Arts|Visceral Games|7.3|1.08|2010
Fisherman's Bass Club|PS2|Sport|Agetec|Vingt-et-un Systems|7.3|1.08|2002
Disney's Lilo & Stitch|GBA|Akció|Disney Interactive Studios|Digital Eclipse|8.0|1.08|2002
Ready 2 Rumble Boxing|PS|Sport|Midway Games|Point of View|7.6|1.08|1999
FIFA Soccer 11|Wii|Sport|EA Sports|EA Canada|7.0|1.08|2010
Joust|2600|Platformer|Atari|Atari|7.3|1.08|1983
Star Fox: Assault|GC|Lövöldözős|Nintendo|Namco|6.6|1.08|2005
SpongeBob SquarePants: Revenge of the Flying Dutchman|PS2|Platformer|THQ|Big Sky Software|7.3|1.08|2002
Virtua Fighter 5|PS3|Harcolós|Sega|Sega-AM2|8.7|1.08|2007
Tom Clancy's Ghost Recon 2|PS2|Lövöldözős|Ubisoft|Red Storm Entertainment|7.3|1.08|2004
Pro Evolution Soccer 2014|PS3|Sport|Konami Digital Entertainment|Konami|8.3|1.08|2013
Grand Theft Auto: Chinatown Wars|PSP|Kaland|Rockstar Games|Rockstar Leeds|9.2|1.08|2009
Dragon Ball Z: Taiketsu|GBA|Harcolós|Atari|Webfoot Technologies|3.8|1.08|2003
Pro Evolution Soccer 2008|X360|Sport|Konami|Konami|7.3|1.07|2008
Spore Creatures|DS|Szimuláció|Electronic Arts|Foundation 9|7.2|1.07|2008
Tomb Raider: Underworld|X360|Kaland|Eidos Interactive|Crystal Dynamics|7.5|1.07|2008
Call of Duty 3|PS2|Lövöldözős|Activision|Treyarch|8.2|1.07|2006
NHL 99|PS|Sport|EA Sports|EA Canada|7.3|1.07|1998
MySims Agents|DS|Kaland|Electronic Arts|EA Redwood Shores|7.3|1.07|2009
Doko Demo Issyo|PS|Egyéb|Sony Computer Entertainment|bexide|7.3|1.07|1999
World Tour Soccer|PSP|Sport|Sony Computer Entertainment|SCEE London Studio|7.0|1.07|2005
Naruto: Ultimate Ninja Storm|PS3|Harcolós|Namco Bandai|CyberConnect2|7.8|1.07|2008
Skylanders Giants|PS3|Egyéb|Activision|Toys for Bob|7.3|1.07|2012
Virtua Fighter|SAT|Harcolós|Sega|Sega-AM2|9.0|1.07|1995
Marvel vs. Capcom 3: Fate of Two Worlds|X360|Harcolós|Capcom|Capcom|8.4|1.07|2011
Imagine: Fashion Designer New York|DS|Szimuláció|Ubisoft|Virtual Toys / Lexis Numerique|7.3|1.07|2008
The Biggest Loser|Wii|Sport|THQ|Blitz Games|7.7|1.07|2009
Championship Manager 99/00|PC|Sport|Eidos Interactive|Sports Interactive|7.3|1.07|2000
Tiger Woods PGA Tour 10|Wii|Sport|EA Sports|EA Tiburon|9.0|1.07|2009
The Orange Box|PS3|Lövöldözős|Electronic Arts|EA UK|8.7|1.07|2007
WWE SmackDown vs. Raw 2010|PS2|Harcolós|THQ|JAKKS Pacific|7.3|1.07|2009
Hot Wheels Turbo Racing|PS|Versenyzős|Electronic Arts|Stormfront Studios|7.3|1.07|1999
LEGO Star Wars II: The Original Trilogy|DS|Akció|LucasArts|Amaze Entertainment|4.9|1.07|2006
Ridge Racer Revolution|PS|Versenyzős|Namco|Namco|7.3|1.07|1996
Prince of Persia|PS3|Kaland|Ubisoft|Ubisoft Montreal|8.3|1.07|2008
Endless Ocean|Wii|Kaland|Nintendo|Arika|6.8|1.06|2008
Mercenaries 2: World in Flames|X360|Lövöldözős|Electronic Arts|Pandemic Studios|7.1|1.06|2008
Warhawk|PS3|Lövöldözős|Sony Computer Entertainment|Incognito Entertainment|8.4|1.06|2007
LEGO The Lord of the Rings|PS3|Egyéb|Warner Bros. Interactive Entertainment|Unknown|7.3|1.06|2012
Sonic Generations|3DS|Platformer|Sega|Sonic Team|6.3|1.06|2011
Mortal Kombat: Armageddon|PS2|Harcolós|Midway Games|Midway Games|7.4|1.06|2006
Aliens vs Predator|X360|Lövöldözős|Sega|Rebellion Developments|6.0|1.06|2010
NBA Street V3|PS2|Sport|EA Sports BIG|EA Canada|7.3|1.06|2005
Simple 1500 Series Vol. 1: The Mahjong|PS|Egyéb|D3 Publisher|Chat Noir|7.3|1.06|1998
Spider-Man 2|GBA|Platformer|Activision|Digital Eclipse|7.0|1.06|2004
Sega Superstars Tennis|Wii|Sport|Sega|Sumo Digital|7.0|1.06|2008
NFL Blitz|N64|Sport|Midway Games|Midway Games|7.3|1.06|1998
Seek and Destroy|PS2|Versenyzős|Conspiracy Entertainment|Barnhouse Effect|5.6|1.06|2002
Football Manager 2013|PC|Sport|Sega|Sports Interactive|7.3|1.06|2012
MLB The Show 18|PS4|Sport|Sony Interactive Entertainment|SIE San Diego Studio|7.3|1.06|2018
NCAA Football 99|PS|Sport|EA Sports|EA Tiburon|7.3|1.06|1998
Darksiders|X360|Akció|THQ|Vigil Games|7.8|1.06|2010
Freekstyle|PS2|Versenyzős|EA Sports BIG|Page 44 Studios|7.3|1.06|2002
DiRT 3|PS3|Versenyzős|Codemasters|Codemasters|9.0|1.06|2011
Hulk|PS2|Akció|Universal Interactive|Radical Entertainment|7.3|1.06|2003
Lego Marvel Super Heroes: Universe in Peril|3DS|Akció|Warner Bros. Interactive Entertainment|TT Fusion|7.3|1.05|2013
Disney Infinity|PS3|Egyéb|Disney Interactive Studios|Unknown|7.3|1.05|2013
NBA 2K3|PS2|Sport|Sega|Visual Concepts|7.3|1.05|2002
Adventure Island|NES|Platformer|Hudson Soft|Hudson Soft / West One|7.3|1.05|1988
Derby Stallion 96|SNES|Sport|ASCII Entertainment|ASCII Entertainment|7.3|1.05|1996
The Simpsons: Road Rage|XB|Versenyzős|Electronic Arts|Radical Entertainment|7.3|1.05|2001
Forza Motorsport|XB|Versenyzős|Microsoft Game Studios|Turn 10 Studios|9.2|1.05|2005
Rocksmith 2014|PS3|Zene|Ubisoft|Ubisoft San Francisco|9.1|1.05|2013
DiRT|PS3|Versenyzős|Codemasters|Codemasters|8.3|1.05|2007
Dave Mirra Freestyle BMX|PS|Sport|Acclaim Entertainment|Z-Axis, Ltd.|7.4|1.05|2000
The Evil Within 2|PS4|Akció|Bethesda Softworks|Tango Gameworks|7.3|1.05|2017
Disney Universe|Wii|Akció|Disney Interactive Studios|Disney Interactive Studios|7.3|1.05|2011
Virtua Tennis 3|PS3|Sport|Sega|Sega-AM3|7.3|1.05|2007
Tag Team Match M.U.S.C.L.E.|NES|Harcolós|Bandai|Bandai|7.3|1.05|1986
Sonic & SEGA All-Stars Racing|DS|Versenyzős|Sega|Sumo Digital|8.3|1.05|2010
Imagine: Animal Doctor|DS|Szimuláció|Ubisoft|Virtual Toys / Lexis Numerique|7.3|1.05|2007
UFC Undisputed 3|PS3|Harcolós|THQ|Yukie's Osaka|7.3|1.05|2012
Cosmic Ark|2600|Lövöldözős|Imagic|Imagic|7.3|1.05|1982
MySims Agents|Wii|Kaland|Electronic Arts|EA Redwood Shores|7.5|1.05|2009
Resident Evil: The Darkside Chronicles|Wii|Lövöldözős|Capcom|Cavia, inc.|7.2|1.05|2009
Dora the Explorer: Dora Saves the Mermaids|DS|Platformer|2K Play|Black Lantern Studios|7.3|1.05|2007
SOCOM: U.S. Navy SEALs Fireteam Bravo 2|PSP|Lövöldözős|Sony Computer Entertainment|Zipper Interactive|8.2|1.05|2006
Call of Duty 4: Modern Warfare|DS|Lövöldözős|Activision|n-Space|7.3|1.05|2007
Defender|2600|Lövöldözős|Atari|Atari|7.3|1.05|1981
Arc the Lad II|PS|Szerepjáték|Sony Computer Entertainment|ARC Entertainment|7.3|1.05|1996
Brink|X360|Lövöldözős|Bethesda Softworks|Splash Damage|6.8|1.04|2011
Dance on Broadway|Wii|Egyéb|Ubisoft|Longtail Studios|7.3|1.04|2010
Prey (2017)|PS4|Lövöldözős|Bethesda Softworks|Arkane Studios|7.3|1.04|2017
Mega Man X4|PS|Platformer|Capcom|Capcom|7.3|1.04|1997
Disney Infinity 2.0: Marvel Super Heroes|PS3|Akció-kaland|Disney Interactive Studios|Avalanche Software|7.3|1.04|2014
ZhuZhu Pets|DS|Szimuláció|Activision|Black Lantern Studios|7.3|1.04|2010
Aliens vs Predator|PS3|Lövöldözős|Sega|Rebellion Developments|6.1|1.04|2010
Sleeping Dogs|PS3|Akció-kaland|Square Enix|United Front Games|8.1|1.04|2012
Legacy of Kain: Soul Reaver|PS|Kaland|Eidos Interactive|Crystal Dynamics|8.9|1.04|1999
Diablo III: Ultimate Evil Edition|XOne|Szerepjáték|Blizzard Entertainment|Blizzard Entertainment|7.3|1.04|2014
Need for Speed: Most Wanted|XB|Versenyzős|Electronic Arts|EA Canada|8.5|1.04|2005
MVP Baseball 2003|PS2|Sport|EA Sports|EA Sports|7.3|1.04|2003
WipEout Pure|PSP|Versenyzős|Sony Computer Entertainment|Studio Liverpool|9.1|1.04|2005
The Simpsons Game|X360|Platformer|Electronic Arts|EA Redwood Shores|6.9|1.04|2007
ATV: Quad Power Racing|PS|Versenyzős|Acclaim Entertainment|Climax Group|7.3|1.04|2000
Bomberman 64|N64|Logikai|Hudson Soft|Hudson Soft|6.1|1.04|1997
Jeremy McGrath Supercross 98|PS|Versenyzős|Acclaim Entertainment|Acclaim Entertainment|7.3|1.04|1998
MotorStorm: Arctic Edge|PSP|Versenyzős|Sony Computer Entertainment|Bigbig Studios|7.7|1.04|2009
Naruto: Clash of Ninja 2|GC|Harcolós|D3 Publisher|8ing/Raizing|7.4|1.04|2006
LEGO Pirates of the Caribbean: The Video Game|X360|Akció|Disney Interactive Studios|Traveller's Tales|7.2|1.04|2011
WWE SmackDown vs. Raw 2010|X360|Harcolós|THQ|JAKKS Pacific|8.2|1.04|2009
Dance Dance Revolution SuperNOVA|PS2|Szimuláció|Konami|Konami Computer Entertainment Tokyo|7.3|1.04|2006
MX vs. ATV Unleashed|PS2|Versenyzős|THQ|Rainbow Studios|7.3|1.03|2005
Just Dance 2014|X360|Zene|Ubisoft|Ubisoft Paris|7.6|1.03|2013
Sonic Unleashed|PS3|Platformer|Sega|Sonic Team|5.3|1.03|2008
Bomberman|NES|Logikai|Hudson Soft|Hudson Soft|7.3|1.03|1989
Tom Clancy's Ghost Recon Advanced Warfighter 2|PS3|Lövöldözős|Ubisoft|Red Storm Entertainment / Ubisoft Paris|7.3|1.03|2007
Junior Brain Trainer|DS|Egyéb|Take-Two Interactive|Sanuk Games|7.3|1.03|2009
The Elder Scrolls III: Morrowind Game of the Year Edition|XB|Szerepjáték|Bethesda Softworks|Bethesda Softworks|8.3|1.03|2003
Tomb Raider|PC|Akció|Eidos Interactive|Core Design Ltd.|8.7|1.03|1996
NCAA March Madness 2004|PS2|Sport|EA Sports|NuFX|7.3|1.03|2003
Guinness World Records: The Videogame|Wii|Akció|Warner Bros. Interactive|Traveller's Tales|7.3|1.03|2008
FIFA Soccer 08|Wii|Sport|EA Sports|EA Canada|7.3|1.03|2007
Dragon Ball Z: Budokai Tenkaichi 3|Wii|Harcolós|Atari|Spike / Bandai Namco Games|7.5|1.03|2007
LEGO Indiana Jones: The Original Adventures|PS3|Kaland|LucasArts|Traveller's Tales|7.7|1.03|2008
Disney Fairies: Tinker Bell and the Lost Treasure|DS|Kaland|Disney Interactive Studios|Hyde|7.3|1.03|2009
Petz: Catz 2|DS|Szimuláció|Ubisoft|Yuke's Media Creations|7.3|1.02|2007
Shrek 2|GC|Platformer|Activision|Luxoflux, Inc.|6.9|1.02|2004
Dead Space 3|PS3|Lövöldözős|Electronic Arts|Visceral Games|7.3|1.02|2013
Assassin's Creed: Rogue|X360|Akció|Ubisoft|Ubisoft Sofia|7.3|1.02|2014
The Lost World: Jurassic Park|PS|Akció|Electronic Arts|DreamWorks Interactive|7.3|1.02|1997
Bulletstorm|X360|Lövöldözős|Electronic Arts|People Can Fly|8.5|1.02|2011
Tiger Woods PGA Tour 08|Wii|Sport|Electronic Arts|EA Salt Lake|7.4|1.02|2007
Pokémon Conquest|DS|Szerepjáték|Nintendo|Tecmo Koei Games|7.3|1.02|2012
Madden NFL 07|XB|Sport|EA Sports|EA Tiburon|8.4|1.02|2006
The Elder Scrolls Online|PC|MMO|Bethesda Softworks|ZeniMax Online Studios|7.3|1.02|2014
LEGO Indiana Jones 2: The Adventure Continues|X360|Kaland|LucasArts|Traveller's Tales|7.3|1.02|2009
Harry Potter and the Prisoner of Azkaban|PS2|Kaland|Electronic Arts|Electronic Arts|7.3|1.02|2004
Wall-E|Wii|Platformer|THQ|Heavy Iron Studios|7.3|1.02|2008
Rock Band 2|Wii|Egyéb|MTV Games|Harmonix Music Systems|9.0|1.02|2008
LEGO Jurassic World|PS3|Akció|Warner Bros. Interactive Entertainment|Traveller's Tales|7.3|1.02|2015
Naruto: Clash of Ninja Revolution|Wii|Harcolós|Tomy Corporation|8ting/Raizing|7.3|1.02|2007
Just Cause 3|XOne|Akció-kaland|Square Enix|Avalanche Studios|7.0|1.01|2015
NBA 2K16|X360|Sport|2K Sports|Visual Concepts|7.3|1.01|2015
LEGO Marvel's Avengers|PS4|Akció|Warner Bros. Interactive Entertainment|Traveller's Tales|7.3|1.01|2016
LEGO Jurassic World|X360|Akció|Warner Bros. Interactive Entertainment|Traveller's Tales|7.3|1.01|2015
LEGO Harry Potter: Years 5-7|X360|Akció|Warner Bros. Interactive|Traveller's Tales|7.3|1.01|2011
Evolve|PS4|Lövöldözős|2K Games|Turtle Rock Studios|7.3|1.01|2015
Madden NFL 16|X360|Sport|EA Sports|EA Tiburon|8.0|1.01|2015
Pong: The Next Level|PS|Logikai|Hasbro Interactive|Supersonic Software|7.3|1.01|1999
MLB 15: The Show|PS4|Sport|Sony Computer Entertainment America|SCE San Diego Studio|7.3|1.01|2015
Championship Manager 3|PC|Sport|Eidos Interactive|Sports Interactive|7.3|1.01|2003
F1 2012|PS3|Versenyzős|Codemasters|Codemasters Birmingham|7.9|1.01|2012
Prince of Persia|X360|Kaland|Ubisoft|Ubisoft Montreal|8.2|1.01|2008
NBA Jam Tournament Edition|SNES|Sport|Acclaim Entertainment|Iguana Entertainment|7.3|1.01|1995
NBA 2K10|X360|Sport|2K Sports|Visual Concepts|8.4|1.01|2009
The Simpsons Game|Wii|Platformer|Electronic Arts|EA Redwood Shores|7.3|1.01|2007
Steep|PS4|Sport|Ubisoft|Ubisoft Annecy|7.3|1.01|2016
EyePet|PS3|Szimuláció|Sony Computer Entertainment|SCEE London Studio|6.9|1.01|2010
Winning Eleven: Pro Evolution Soccer 2007 (All Region sales)|X360|Sport|Konami|Konami Computer Entertainment Tokyo|7.3|1.0|2007
PES 2009: Pro Evolution Soccer|X360|Sport|Konami|Konami|7.3|1.0|2008
NFL GameDay 2001|PS|Sport|Sony Computer Entertainment|989 Sports|7.3|1.0|2000
NBA Live 97|PS|Sport|EA Sports|Electronic Arts|7.3|1.0|1996
Excitebike 64|N64|Versenyzős|Nintendo|Left Field Productions|8.9|1.0|2000
Dynasty Warriors 3: Xtreme Legends|PS2|Akció|KOEI|Omega Force|7.3|1.0|2003
Far Cry: Primal|XOne|Akció-kaland|Ubisoft|Ubisoft Montreal|7.8|1.0|2016
Rayman Origins|PS3|Platformer|Ubisoft|Ubisoft|8.5|1.0|2011
Breath of Fire III|PS|Szerepjáték|Capcom|Capcom|7.6|1.0|1998
Road & Track Presents: The Need for Speed|PS|Versenyzős|Electronic Arts|EA Canada|7.3|1.0|1996
1942|NES|Lövöldözős|Capcom|Capcom|7.3|1.0|1986
Just Dance 2017|Wii|Zene|Ubisoft|Ubisoft Paris|7.3|1.0|2016
Ford Racing 2|PS2|Versenyzős|Gotham Games|Razorworks Studios|7.3|1.0|2003
Guitar Hero: Aerosmith|PS3|Egyéb|Activision|Neversoft|7.3|1.0|2008
Jampack Winter 2000|PS|Egyéb|Sony Computer Entertainment|Sony Computer Entertainment America|7.3|1.0|2000
Dead Space 3|X360|Lövöldözős|Electronic Arts|Visceral Games|7.3|1.0|2013
Tom Clancy's Splinter Cell: Blacklist|X360|Akció-kaland|Ubisoft|Ubisoft Toronto|8.4|1.0|2013
NERF N-Strike Elite|Wii|Lövöldözős|Electronic Arts|EA Salt Lake|7.5|1.0|2009
NCAA Football 12|X360|Sport|EA Sports|EA Tiburon|7.8|1.0|2011
SoulCalibur II|XB|Harcolós|Namco|Namco|7.3|1.0|2003
UFC Undisputed 3|X360|Harcolós|THQ|Yukie's Osaka|7.3|1.0|2012
Dead or Alive 2|PS2|Harcolós|Tecmo|Team Ninja|7.3|1.0|2000
Puzzler Collection|DS|Logikai|Zoo Digital Publishing|Route 1 Games|7.3|0.99|2008
Dragon Age: Inquisition|XOne|Szerepjáték|Electronic Arts|BioWare Edmonton|7.3|0.99|2014
NFL Fever 2002|XB|Sport|Microsoft|Microsoft|7.3|0.99|2001
Rocksmith 2014|X360|Zene|Ubisoft|Ubisoft San Francisco|8.4|0.99|2013
Cars: Race-O-Rama|Wii|Versenyzős|THQ|Rainbow Studios|7.3|0.99|2009
The Bouncer|PS2|Akció|Square|SquareSoft|7.3|0.99|2001
Tales of Graces f|PS3|Szerepjáték|Namco Bandai|Namco Tales Studio|7.3|0.99|2012
Army of Two: The 40th Day|X360|Lövöldözős|Electronic Arts|EA Montreal|7.1|0.99|2010
DiRT 2|PS3|Versenyzős|Codemasters|Codemasters|8.8|0.99|2009
PlayStation All-Stars Battle Royale|PS3|Harcolós|Sony Computer Entertainment|SuperBot Entertainment|7.3|0.99|2012
Midnight Club: LA Remix|PSP|Versenyzős|Rockstar Games|Rockstar London|7.7|0.99|2008
Apollo Justice: Ace Attorney|DS|Kaland|Capcom|Capcom|8.0|0.99|2008
The Simpsons: Hit & Run|GC|Versenyzős|VU Games|Radical Entertainment|8.2|0.99|2003
Haze|PS3|Lövöldözős|Ubisoft|Free Radical Design|5.6|0.99|2008
Oddworld: Abe's Exoddus|PS|Platformer|GT Interactive|Oddworld Inhabitans|8.6|0.99|1998
Shadow The Hedgehog|GC|Platformer|Sega|Sonic Team|4.9|0.99|2005
Disney Epic Mickey 2: The Power of Two|Wii|Platformer|Disney Interactive Studios|Junction Point Studios|7.3|0.98|2012
Tetris 2|NES|Logikai|Nintendo|Nintendo|7.3|0.98|1993
Tom Clancy's Splinter Cell: Blacklist|PS3|Akció-kaland|Ubisoft|Ubisoft Toronto|8.3|0.98|2013
Disney Tangled|DS|Akció|Disney Interactive Studios|Disney Interactive Studios|7.3|0.98|2010
The Witcher 2: Assassins of Kings|PC|Szerepjáték|Atari|CD Projekt Red Studio|8.8|0.98|2011
The LEGO Movie Videogame|PS3|Akció-kaland|Warner Bros. Interactive Entertainment|TT Fusion|7.3|0.98|2014
Zoo Tycoon DS|DS|Stratégia|THQ|Blue Fang Games|4.6|0.98|2005
Pro Evolution Soccer 2008|PSP|Sport|Konami|Konami|7.8|0.98|2008
WWE 2K19|PS4|Harcolós|2K Sports|Visual Concepts|7.3|0.98|2018
Fallout 3|PC|Szerepjáték|Bethesda Softworks|Bethesda Game Studios|9.0|0.98|2008
WWE SmackDown vs Raw 2008|Wii|Harcolós|THQ|Yuke's Media Creations|7.3|0.98|2007
Air-Sea Battle|2600|Lövöldözős|Atari|Atari|7.3|0.98|1977
Sniper Elite V2|PS3|Lövöldözős|505 Games|Rebellion Developments|7.4|0.98|2012
Injustice: Gods Among Us Ultimate Edition|PS4|Harcolós|Warner Bros. Interactive Entertainment|NetherRealm Studios|7.3|0.98|2013
Madden NFL 10|PS2|Sport|EA Sports|EA Tiburon|7.3|0.98|2009
Wheel of Fortune|Wii|Egyéb|THQ|Pipeworks Software, Inc.|7.3|0.98|2010
FIFA Soccer 10|Wii|Sport|EA Sports|EA Canada|8.3|0.98|2009
Littlest Pet Shop: Winter|DS|Szimuláció|Electronic Arts|EA Salt Lake|7.3|0.98|2008
Suikoden III|PS2|Szerepjáték|Konami|KCET|8.6|0.98|2002
NASCAR 99|N64|Versenyzős|EA Sports|Stormfront Studios|7.3|0.98|1998
Mario Party Advance|GBA|Egyéb|Nintendo|Hudson Soft|7.3|0.98|2005
Donkey Kong Junior|2600|Platformer|Coleco|Nintendo|7.3|0.97|1983
Grand Theft Auto: San Andreas|PC|Akció|Rockstar Games|Rockstar North|9.4|0.97|2005
Medal of Honor: Underground|PS|Lövöldözős|Electronic Arts|DreamWorks Interactive|7.3|0.97|2000
South Park: The Stick of Truth|PS3|Szerepjáték|Ubisoft|Obsidian Entertainment|7.3|0.97|2014
Cars|DS|Versenyzős|THQ|Helixe|7.3|0.97|2006
Dirge of Cerberus: Final Fantasy VII|PS2|Lövöldözős|Square Enix|Square Enix|5.8|0.97|2006
NCAA Football 06|XB|Sport|EA Sports|EA Tiburon|7.3|0.97|2005
NHL 2004|PS2|Sport|EA Sports|EA Black Box|7.3|0.97|2003
Madden NFL 08|PS3|Sport|EA Sports|EA Tiburon|7.3|0.97|2007
Brutal Legend|X360|Akció|Electronic Arts|Double Fine Productions|8.5|0.97|2009
Band Hero|Wii|Egyéb|Activision|Vicarious Visions|7.4|0.97|2009
EA Sports UFC 3|PS4|Sport|EA Sports|EA Vancouver|7.3|0.97|2018
Grand Theft Auto: Vice City Stories|PS2|Akció|Rockstar Games|Rockstar Leeds|7.3|0.97|2007
FIFA Soccer 2005|XB|Sport|EA Sports|EA Canada|7.3|0.97|2004
Skylanders: Spyro's Adventure|X360|Akció|Activision|Toys for Bob|7.3|0.97|2011
LEGO Star Wars II: The Original Trilogy|GC|Akció|LucasArts|Traveller's Tales|8.4|0.97|2006
Fire Emblem: The Blazing Blade|GBA|Stratégia|Nintendo|Intelligent Systems|8.8|0.97|2003
Sea of Thieves|XOne|Akció-kaland|Microsoft Studios|Rare Ltd.|6.9|0.96|2018
Dance Dance Revolution 2nd ReMIX|PS|Szimuláció|Konami|KCET|7.3|0.96|1999
LEGO Pirates of the Caribbean: The Video Game|PS3|Akció|Disney Interactive Studios|Traveller's Tales|7.4|0.96|2011
NHL 2001|PS2|Sport|EA Sports|EA Canada|7.3|0.96|2000
My Weight Loss Coach|DS|Sport|Ubisoft|Ubisoft Montreal|7.3|0.96|2008
Madden NFL 25|PS4|Sport|EA Sports|EA Tiburon|7.4|0.96|2013
MLB 16: The Show|PS4|Sport|Sony Computer Entertainment America|SCE San Diego Studio|7.3|0.96|2016
South Park: The Stick of Truth|X360|Szerepjáték|Ubisoft|Obsidian Entertainment|7.3|0.96|2014
Club Penguin: Game Day!|Wii|Egyéb|Disney Interactive Studios|Artoon|7.3|0.96|2010
Mass Effect 3|PC|Szerepjáték|Electronic Arts|BioWare|7.3|0.96|2012
Sonic & SEGA All-Stars Racing|PS3|Versenyzős|Sega|Sumo Digital|8.0|0.96|2010
Tom Clancy's Ghost Recon: Future Soldier|PS3|Lövöldözős|Ubisoft|Ubisoft Paris|7.3|0.96|2012
Mortal Kombat Trilogy|N64|Harcolós|Midway Games|Point of View Inc.|7.3|0.96|1996
Mortal Kombat: Deadly Alliance|XB|Harcolós|Midway Games|Midway|7.3|0.96|2002
Dark Cloud 2|PS2|Szerepjáték|Sony Computer Entertainment|Level 5|8.6|0.96|2003
Star Soldier|NES|Lövöldözős|Taxan|Hudson Soft|7.3|0.96|1988
Guitar Hero: Warriors of Rock|Wii|Egyéb|Activision|Vicarious Visions|7.3|0.96|2010
PilotWings Resort|3DS|Szimuláció|Nintendo|Monster Games|6.9|0.96|2011
Scooby-Doo! First Frights|Wii|Kaland|Warner Bros. Interactive|Torus Games|7.3|0.96|2009
Gangs of London|PSP|Kaland|Sony Computer Entertainment|SCEE London Studio|5.0|0.96|2006
Jampack Summer '99|PS|Egyéb|Sony Computer Entertainment|Sony Computer Entertainment America|7.3|0.96|1999
Shinobi|PS2|Akció|Sega|Overworks|7.3|0.96|2002
NCAA Football 2000|PS|Sport|EA Sports|EA Sports|7.3|0.95|1999
Driver: San Francisco|PS3|Versenyzős|Ubisoft|Ubisoft Reflections|8.2|0.95|2011
Wipeout: In The Zone|X360|Egyéb|Activision|Activision|7.3|0.95|2011
Lost Planet 2|PS3|Lövöldözős|Capcom|Capcom|6.6|0.95|2010
LEGO Harry Potter: Years 5-7|PS3|Akció|Warner Bros. Interactive|Traveller's Tales|9.0|0.95|2011
ESPN NBA 2K5|XB|Sport|Sega|Visual Concepts|7.3|0.95|2004
White Knight Chronicles: International Edition|PS3|Szerepjáték|Sony Computer Entertainment|Level 5|6.3|0.95|2010
Mega Man Star Force Dragon / Leo / Pegasus|DS|Szerepjáték|Capcom|Capcom|7.3|0.95|2007
Wild ARMs|PS|Szerepjáték|Sony Computer Entertainment|Media.Vision|8.9|0.95|1997
World Championship Poker|PS2|Egyéb|Crave Entertainment|Coresoft|7.3|0.95|2004
Ben 10: Alien Force|DS|Akció|D3 Publisher|1st Playable Productions / OneNine Studios|7.3|0.95|2008
Wheel of Fortune|PS2|Egyéb|Atari|Atari|7.3|0.95|2003
Skylanders: Trap Team|Wii|Platformer|Activision|Toys for Bob|7.3|0.95|2014
